search_keyword,taxId,name,branch,branchCode,branchType,addressLocal,zipCode,contactGroup
องค์การเภสัชกรรม,0994000165315,องค์การเภสัชกรรม,,00001,สาขา,75/1. ถนนพระราม 6 แขวงทุ่งพญาไท เขตราชเทวี กรุงเทพมหานคร,10400,1
องค์การเภสัชกรรม,0994000165315,องค์การเภสัชกรรม,,00016,สาขา,120 ชั้น 1 ยูนิต BM-1-080 อาคารศูนย์ราชการฯ หมู่3 ถนนแจ้งวัฒนะ แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพมหานคร,10210,1
องค์การเภสัชกรรม,0994000165315,องค์การเภสัชกรรม,,00020,สาขา,63/14 หมู่3 ตำบลทับกวาง อำเภอแก่งคอย สระบุรี,18260,1
องค์การเภสัชกรรม,0994000165315,องค์การเภสัชกรรม,,00003,สาขา,154/19-20 ถนนจรัลสนิทวงศ์ แขวงบ้านช่างหล่อ เขตบางกอกน้อย กรุงเทพมหานคร,10700,1
องค์การเภสัชกรรม,0994000165315,องค์การเภสัชกรรม,,00022,สาขา,10 ชั้น G ยูนิต LD10 อาคารสถานีกลางกรุงเทพอภิวัฒน์ ถนนกำแพงเพชร แขวงจตุจักร เขตจตุจักร กรุงเทพมหานคร,10900,1
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105550007371,บริษัท คัมมิ่นส์ ดีเคเอสเอช (ประเทศไทย) จำกัด,,00002,สาขา,"246,246/1 หมู่1 ตำบลปงแสนทอง อำเภอเมืองลำปาง ลำปาง",52100,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00019,สาขา,141/12-14 หมู่1 ตำบลพยอม อำเภอวังน้อย พระนครศรีอยุธยา,13170,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00218,สาขา,272/11 หมู่12 ตำบลเมืองเก่า อำเภอเมืองขอนแก่น ขอนแก่น,40000,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105550007371,บริษัท คัมมิ่นส์ ดีเคเอสเอช (ประเทศไทย) จำกัด,,00001,สาขา,141/12 หมู่1 ตำบลพยอม อำเภอวังน้อย พระนครศรีอยุธยา,13170,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00132,สาขา,88/6 หมู่7 ตำบลทุ่งสุขลา อำเภอศรีราชา ชลบุรี,20230,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00147,สาขา,4/2 หมู่2 ตำบลกลางแดด อำเภอเมืองนครสวรรค์ นครสวรรค์,60000,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00197,สาขา,88/5-6 หมู่11 ตำบลบางโฉลง อำเภอบางพลี สมุทรปราการ,10540,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00227,สาขา,941/3 ยูนิต SH103 ถนนชยางกูร ตำบลในเมือง อำเภอเมืองอุบลราชธานี อุบลราชธานี,34000,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00233,สาขา,91/1 หมู่1 ถนนกาญจนวิถี ตำบลบางกุ้ง อำเภอเมืองสุราษฎร์ธานี สุราษฎร์ธานี,84000,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00240,สาขา,3054 ซอยสันติคาม 8 หมู่9 ถนนสุขุมวิท ตำบลสำโรงเหนือ อำเภอเมืองสมุทรปราการ สมุทรปราการ,10270,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00248,สาขา,122/3 หมู่2 ตำบลทุ่งสุขลา อำเภอศรีราชา ชลบุรี,20110,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00262,สาขา,989 ชั้น G ยูนิต G80A หมู่14 ตำบลบางเสาธง อำเภอบางเสาธง สมุทรปราการ,10540,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00268,สาขา,7/222 ชั้น 2 ยูนิต 214/1-214/2 อาคารศูนย์การค้าเซ็นทรัลพลาซาปิ่นเกล้า ถนนบรมราชชนนี แขวงอรุณอมรินทร์ เขตบางกอกน้อย กรุงเทพมหานคร,10700,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00272,สาขา,1697 ชั้น 2 ยูนิต 215 อาคารศูนย์การค้าเซ็นทรัล ลาดพร้าว ถนนพหลโยธิน แขวงจตุจักร เขตจตุจักร กรุงเทพมหานคร,10900,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105550007371,บริษัท คัมมิ่นส์ ดีเคเอสเอช (ประเทศไทย) จำกัด,,00005,สาขา,502/28 หมู่4 ตำบลคลองแห อำเภอหาดใหญ่ สงขลา,90110,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105550007371,บริษัท คัมมิ่นส์ ดีเคเอสเอช (ประเทศไทย) จำกัด,สำนักงานใหญ่,00000,สำนักงานใหญ่,2106 อาคารแฟนทรี 4 ถนนสุขุมวิท แขวงพระโขนงใต้ เขตพระโขนง กรุงเทพมหานคร,10260,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00018,สาขา,"246,246/1 หมู่1 ตำบลปงแสนทอง อำเภอเมืองลำปาง ลำปาง",52100,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00129,สาขา,10/16 หมู่4 ตำบลวัดประดู่ อำเภอเมืองสุราษฎร์ธานี สุราษฎร์ธานี,84000,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00131,สาขา,2/6 ถนนบ้านทุ่งควน ตำบลทับเที่ยง อำเภอเมืองตรัง ตรัง,92000,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00140,สาขา,"39 ชั้น 1 ยูนิต 1342,1344 อาคารศูนย์การค้าเมกาบางนา หมู่6 ถนนบางนา-ตราด ตำบลบางแก้ว อำเภอบางพลี สมุทรปราการ",10540,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00164,สาขา,37/15 หมู่1 ถนนกาญจนวิถี ตำบลบางกุ้ง อำเภอเมืองสุราษฎร์ธานี สุราษฎร์ธานี,84000,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00211,สาขา,333/14 หมู่3 ตำบลบางเสาธง อำเภอบางเสาธง สมุทรปราการ,10540,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00232,สาขา,607 ชั้น 5 ยูนิต 5B ถนนเพชรเกษม ตำบลหาดใหญ่ อำเภอหาดใหญ่ สงขลา,90110,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00238,สาขา,197 ถนนประจวบคีรีขันธ์ ตำบลประจวบคีรีขันธ์ อำเภอเมืองประจวบคีรีขันธ์ ประจวบคีรีขันธ์,77000,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00247,สาขา,333/24 หมู่3 ตำบลบางเสาธง อำเภอบางเสาธง สมุทรปราการ,10570,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00260,สาขา,989 ชั้น G ยูนิต G82A หมู่14 ตำบลบางเสาธง อำเภอบางเสาธง สมุทรปราการ,10540,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00267,สาขา,333/30 หมู่3 ตำบลบางเสาธง อำเภอบางเสาธง สมุทรปราการ,10570,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00271,สาขา,88/4 หมู่11 ตำบลบางโฉลง อำเภอบางพลี สมุทรปราการ,10540,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105550007371,บริษัท คัมมิ่นส์ ดีเคเอสเอช (ประเทศไทย) จำกัด,,00004,สาขา,52/47 หมู่9 ตำบลทุ่งสุขลา อำเภอศรีราชา ชลบุรี,20230,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00031,สาขา,444 หมู่2 ตำบลบ้านทุ่ม อำเภอเมืองขอนแก่น ขอนแก่น,40000,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00012,สาขา,622 ยูนิต จีพี 15 ถนนสุขุมวิท แขวงคลองตัน เขตคลองเตย กรุงเทพมหานคร,10110,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00115,สาขา,142/3 หมู่6 ตำบลวังหิน อำเภอเมืองตาก ตาก,63000,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,สำนักงานใหญ่,00000,สำนักงานใหญ่,2533 ถนนสุขุมวิท แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร,10260,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00133,สาขา,128-129 หมู่7 ตำบลกกโก อำเภอเมืองลพบุรี ลพบุรี,15000,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00149,สาขา,84 หมู่3 ตำบลหัวเตย อำเภอพุนพิน สุราษฎร์ธานี,84130,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00208,สาขา,208 อาคารA7 หมู่4 ตำบลหนองหอย อำเภอเมืองเชียงใหม่ เชียงใหม่,50000,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00228,สาขา,92/1 ชั้น 2 ยูนิต 210-212 ถนนมหิดล ตำบลหายยา อำเภอเมืองเชียงใหม่ เชียงใหม่,50000,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00234,สาขา,855 ถนนพระราม 3 แขวงบางโพงพาง เขตยานนาวา กรุงเทพมหานคร,10120,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00242,สาขา,127 ชั้น L02 ยูนิต L02-03 อาคารเกษร ทาวเวอร์ ถนนราชดำริห์ แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร,10330,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00252,สาขา,7/222 ชั้น 2 ยูนิต 229/2 อาคารศูนย์การค้าเซ็นทรัลปิ่นเกล้า ถนนบรมราชชนนี แขวงอรุณอมรินทร์ เขตบางกอกน้อย กรุงเทพมหานคร,10700,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00265,สาขา,88/168 หมู่15 ตำบลบางเสาธง อำเภอบางเสาธง สมุทรปราการ,10570,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00269,สาขา,55/97 หมู่15 ตำบลบางเสาธง อำเภอบางเสาธง สมุทรปราการ,10570,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00274,สาขา,"4,4/1-4/2,4/4 ชั้น 5 ยูนิต C513/1 อาคารศูนย์การค้าเซ็นทรัลเวิลด์ ถนนราชดำริห์ แขวงปทุมวัน เขตปทุมวัน กรุงเทพมหานคร",10330,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00027,สาขา,539 ถนนสายเอเซีย ตำบลคอหงส์ อำเภอหาดใหญ่ สงขลา,90110,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00034,สาขา,62 หมู่1 ถนนบางนา-ตราด ตำบลศีรษะจรเข้ใหญ่ อำเภอบางเสาธง สมุทรปราการ,10570,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00038,สาขา,383 ซอยจรัญสนิทวงศ์ 67 ถนนจรัญสนิทวงศ์ แขวงบางพลัด เขตบางพลัด กรุงเทพมหานคร,10700,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00049,สาขา,888/8 หมู่2 ถนนสุขุมวิท ตำบลบางปูใหม่ อำเภอเมืองสมุทรปราการ สมุทรปราการ,10280,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00082,สาขา,2535 ถนนสุขุมวิท แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร,10260,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00099,สาขา,199/1 หมู่บ้านพาร์ค แกลเลอรี ถนนวัชรพล แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร,10230,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00112,สาขา,23/1-4 หมู่5 ถนนรักศักดิ์ชมูล ตำบลท่าช้าง อำเภอเมืองจันทบุรี จันทบุรี,22000,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00117,สาขา,2 หมู่5 ตำบลหนองจะบก อำเภอเมืองนครราชสีมา นครราชสีมา,30000,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00122,สาขา,228/1 ถนนบรมไตรโลกนารถ 2 ตำบลในเมือง อำเภอเมืองพิษณุโลก พิษณุโลก,65000,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00126,สาขา,460/14-16 ซอยบ้านหนองบัว หมู่1 ตำบลหมากแข้ง อำเภอเมืองอุดรธานี อุดรธานี,41000,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00033,สาขา,52/47 หมู่9 ตำบลทุ่งสุขลา อำเภอศรีราชา ชลบุรี,20230,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00039,สาขา,113/1 หมู่4 ตำบลดอนทอง อำเภอเมืองพิษณุโลก พิษณุโลก,65000,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00064,สาขา,38 ซอยฉลองกรุง 31 แขวงลำปลาทิว เขตลาดกระบัง กรุงเทพมหานคร,10520,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00084,สาขา,"88,88/1-3 หมู่11 ตำบลบางโฉลง อำเภอบางพลี สมุทรปราการ",10540,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00109,สาขา,402 ซอยบางปู 36 หมู่8 ถนนแพรกษา ตำบลท้ายบ้านใหม่ อำเภอเมืองสมุทรปราการ สมุทรปราการ,10280,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00113,สาขา,31 หมู่1 ถนนเทพกษัตรี ตำบลเกาะแก้ว อำเภอเมืองภูเก็ต ภูเก็ต,83000,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00119,สาขา,274/5 หมู่13 ถนนสกล-กาฬสินธุ์ ตำบลธาตุเชิงชุม อำเภอเมืองสกลนคร สกลนคร,47000,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00123,สาขา,73/4 หมู่19 ตำบลขามใหญ่ อำเภอเมืองอุบลราชธานี อุบลราชธานี,34000,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00128,สาขา,15/58 หมู่3 ตำบลกลางแดด อำเภอเมืองนครสวรรค์ นครสวรรค์,60000,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00041,สาขา, ชั้น ชั้นล่าง อาคารคณะทันตแพทย์ศาสตร์ มหาวิทยาลัยเชียงใหม่ ถนนสุเทพ ตำบลสุเทพ อำเภอเมืองเชียงใหม่ เชียงใหม่,50200,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00073,สาขา,939 ซอยนิคมอุตสาหกรรมบางปะอิน หมู่2 ถนนอุดมสรยุทธ ตำบลคลองจิก อำเภอบางปะอิน พระนครศรีอยุธยา,13160,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00085,สาขา,35 ซอยอินทามระ 3 ถนนสุทธิสารวินิจฉัย แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร,10400,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00110,สาขา,11 ซอยเอกชัย 89/2 แขวงบางบอน เขตบางบอน กรุงเทพมหานคร,10150,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00114,สาขา,37/97 ถนนบ้านปากแรด ตำบลบ้านโป่ง อำเภอบ้านโป่ง ราชบุรี,70110,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00120,สาขา,486 หมู่6 ตำบลนอกเมือง อำเภอเมืองสุรินทร์ สุรินทร์,32000,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00124,สาขา,"170,170/1-4 หมู่12 ตำบลป่าเลา อำเภอเมืองเพชรบูรณ์ เพชรบูรณ์",67000,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00016,สาขา,2106 ถนนสุขุมวิท แขวงพระโขนงใต้ เขตพระโขนง กรุงเทพมหานคร,10260,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00118,สาขา,609 หมู่16 ตำบลเหนือเมือง อำเภอเมืองร้อยเอ็ด ร้อยเอ็ด,45000,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00130,สาขา,1450/43 ถนนหลังตลาดสดคูขวาง ตำบลท่าวัง อำเภอเมืองนครศรีธรรมราช นครศรีธรรมราช,80000,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00134,สาขา,544-545 ถนนเพชรเกษม ตำบลหาดใหญ่ อำเภอหาดใหญ่ สงขลา,90110,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00163,สาขา,104 หมู่12 ตำบลเมืองเก่า อำเภอเมืองขอนแก่น ขอนแก่น,40000,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00209,สาขา,777/1-3 หมู่7 ตำบลบางปลา อำเภอบางพลี สมุทรปราการ,10540,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00230,สาขา,888 ถนนพิชัยสงคราม ตำบลในเมือง อำเภอเมืองพิษณุโลก พิษณุโลก,65000,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00237,สาขา,97/7-9 หมู่11 ถนนยันตรกิจโกศล ตำบลกลางเวียง อำเภอเวียงสา น่าน,55110,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00245,สาขา,991 ชั้น 2 ยูนิต 2-03 อาคารศูนย์การค้าสยามพารากอน ถนนพระราม 1 แขวงปทุมวัน เขตปทุมวัน กรุงเทพมหานคร,10330,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00258,สาขา,669 หมู่1 ตำบลวังใหม่ อำเภอวังสมบูรณ์ สระแก้ว,27250,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00266,สาขา,250/3 หมู่5 ตำบลหนองผึ้ง อำเภอสารภี เชียงใหม่,50140,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00270,สาขา,11/31 หมู่9 ตำบลบางโฉลง อำเภอบางพลี สมุทรปราการ,10540,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00003,สาขา,2106 อาคารแฟนทรี 4 ถนนสุขุมวิท แขวงพระโขนงใต้ เขตพระโขนง กรุงเทพมหานคร,10260,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00028,สาขา,230 หมู่5 ตำบลหนองผึ้ง อำเภอสารภี เชียงใหม่,50140,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00036,สาขา,144/1 หมู่13 ถนนสายเลี่ยงเมือง ตำบลแสนสุข อำเภอวารินชำราบ อุบลราชธานี,34190,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00048,สาขา,904-906 หมู่8 ตำบลเชียงรากน้อย อำเภอบางปะอิน พระนครศรีอยุธยา,13180,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00077,สาขา,"222,222/1-4 หมู่1 ตำบลศีรษะจรเข้ใหญ่ อำเภอบางเสาธง สมุทรปราการ",10570,3
ดีเคเอสเอช (ประเทศไทย) จำกัด,0105523002118,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,,00088,สาขา,57 ซอยสุภางค์ สุขุมวิท 34 แขวงคลองตัน เขตคลองเตย กรุงเทพมหานคร,10110,3
